,260226_Hpos_000_AnalyticalBlnk.mzML,260226_Hpos_001_AnalyticalBlnk.mzML,260226_Hpos_002_AnalyticalBlnk.mzML,260226_Hpos_005_MethodBlnk.mzML,260226_Hpos_006_MethodBlnk.mzML,260226_Hpos_007_QC_cond.mzML,260226_Hpos_008_QC_cond.mzML,260226_Hpos_009_QC_cond.mzML,260226_Hpos_010_QC_cond.mzML,260226_Hpos_017_QC.mzML,260226_Hpos_018_spelt_t8_A.mzML,260226_Hpos_019_buckwheat_t1_C.mzML,260226_Hpos_020_wheat_t8_H.mzML,260226_Hpos_021_spelt_t1_D.mzML,260226_Hpos_022_buckwheat_t1_E.mzML,260226_Hpos_023_wheat_t1_G.mzML,260226_Hpos_024_dinkel_t8_C.mzML,260226_Hpos_025_wheat_t1_A.mzML,260226_Hpos_026_wheat_t8_G.mzML,260226_Hpos_027_1_t0.mzML,260226_Hpos_028_buckwheat_t8_D.mzML,260226_Hpos_029_wheat_t1_H.mzML,260226_Hpos_030_wheat_t8_A.mzML,260226_Hpos_031_maize_t8_G.mzML,260226_Hpos_032_buckwheat_t1_F.mzML,260226_Hpos_033_buckwheat_t1_D.mzML,260226_Hpos_034_maize_t8_H.mzML,260226_Hpos_035_spelt_t8_D.mzML,260226_Hpos_036_maize_t1_G.mzML,260226_Hpos_037_wheat_t1_B.mzML,260226_Hpos_038_wheat_t8_B.mzML,260226_Hpos_039_maize_t8_E.mzML,260226_Hpos_040_spelt_t1_A.mzML,260226_Hpos_041_dinkel_t1_B.mzML,260226_Hpos_042_maize_t1_F.mzML,260226_Hpos_043_maize_t1_H.mzML,260226_Hpos_044_buckwheat_t8_E.mzML,260226_Hpos_045_dinkel_t8_B.mzML,260226_Hpos_046_buckwheat_t8_C.mzML,260226_Hpos_047_dinkel_t1_C.mzML,260226_Hpos_048_buckwheat_t8_F.mzML,260226_Hpos_049_maize_t8_F.mzML,260226_Hpos_050_maize_t1_E.mzML,260226_Hpos_051_QC.mzML,260226_Hpos_052_spelt_t1_A.mzML,260226_Hpos_053_1_t0.mzML,260226_Hpos_054_buckwheat_t1_F.mzML,260226_Hpos_055_dinkel_t1_B.mzML,260226_Hpos_056_wheat_t1_H.mzML,260226_Hpos_057_buckwheat_t1_C.mzML,260226_Hpos_058_maize_t1_E.mzML,260226_Hpos_059_wheat_t1_A.mzML,260226_Hpos_060_wheat_t1_G.mzML,260226_Hpos_061_maize_t8_E.mzML,260226_Hpos_062_buckwheat_t1_E.mzML,260226_Hpos_063_dinkel_t8_C.mzML,260226_Hpos_064_dinkel_t8_B.mzML,260226_Hpos_065_maize_t8_H.mzML,260226_Hpos_066_maize_t8_G.mzML,260226_Hpos_067_maize_t1_G.mzML,260226_Hpos_068_maize_t8_F.mzML,260226_Hpos_069_dinkel_t1_C.mzML,260226_Hpos_070_buckwheat_t8_C.mzML,260226_Hpos_071_spelt_t8_A.mzML,260226_Hpos_072_maize_t1_F.mzML,260226_Hpos_073_buckwheat_t8_D.mzML,260226_Hpos_074_buckwheat_t8_E.mzML,260226_Hpos_075_spelt_t8_D.mzML,260226_Hpos_076_spelt_t1_D.mzML,260226_Hpos_077_wheat_t8_H.mzML,260226_Hpos_078_buckwheat_t1_D.mzML,260226_Hpos_079_wheat_t1_B.mzML,260226_Hpos_080_wheat_t8_G.mzML,260226_Hpos_081_wheat_t8_B.mzML,260226_Hpos_082_wheat_t8_A.mzML,260226_Hpos_083_maize_t1_H.mzML,260226_Hpos_084_buckwheat_t8_F.mzML,260226_Hpos_085_QC.mzML,260226_Hpos_086_spelt_t8_A.mzML,260226_Hpos_087_dinkel_t8_C.mzML,260226_Hpos_088_wheat_t8_A.mzML,260226_Hpos_089_maize_t8_E.mzML,260226_Hpos_090_spelt_t1_D.mzML,260226_Hpos_091_buckwheat_t8_F.mzML,260226_Hpos_092_dinkel_t1_B.mzML,260226_Hpos_093_maize_t1_G.mzML,260226_Hpos_094_wheat_t1_B.mzML,260226_Hpos_095_1_t0.mzML,260226_Hpos_096_buckwheat_t8_C.mzML,260226_Hpos_097_buckwheat_t1_C.mzML,260226_Hpos_098_maize_t1_H.mzML,260226_Hpos_099_spelt_t1_A.mzML,260226_Hpos_100_buckwheat_t8_E.mzML,260226_Hpos_101_buckwheat_t8_D.mzML,260226_Hpos_102_wheat_t8_G.mzML,260226_Hpos_103_dinkel_t1_C.mzML,260226_Hpos_104_buckwheat_t1_E.mzML,260226_Hpos_105_dinkel_t8_B.mzML,260226_Hpos_106_buckwheat_t1_D.mzML,260226_Hpos_107_spelt_t8_D.mzML,260226_Hpos_108_maize_t1_E.mzML,260226_Hpos_109_wheat_t8_H.mzML,260226_Hpos_110_maize_t8_F.mzML,260226_Hpos_111_maize_t1_F.mzML,260226_Hpos_112_wheat_t1_H.mzML,260226_Hpos_113_wheat_t1_G.mzML,260226_Hpos_114_maize_t8_G.mzML,260226_Hpos_115_wheat_t8_B.mzML,260226_Hpos_116_maize_t8_H.mzML,260226_Hpos_117_buckwheat_t1_F.mzML,260226_Hpos_118_wheat_t1_A.mzML,260226_Hpos_119_QC.mzML,InchiKey
3541 | 236.0919mz | 3.59min,,,,,,1546,1628,658.3,1181,1940,,3187,,,1131,,,,,,13580,,,,1382,2628,,,,,,,,,,,8647,,12790,1585,12840,,,1147,,,6267,,,15890,,,,,8274,,,,,,,698.3,8479,,,8968,7370,,,,19610,,,,,,10390,1068,,,,,,8182,,,,,7659,11470,,,8213,14950,,2744,3744,,14410,,,,,,,,,,,13280,,1711,
3542 | 207.1130mz | 3.76min,,,,,,,,,,,,,,,,,,,,,2180,,,,,,,,,,,,,,,,2969,,2324,,2418,,,,,,,,,,,,,,,,,,,,,,2596,,,2010,2686,,,,,,,,,,2698,,,,,,,2657,,,,,2699,,,,2340,2496,,,,,,,,,,,,,,,,,,,
3543 | 147.0895mz | 3.76min,,,,,,16640,14540,15560,15170,14180,7447,4611,20720,9362,4611,19540,11710,11060,12080,7610,512.3,12910,19600,1532,4866,5748,109.2,9871,20450,12030,12410,801.8,10230,9536,8364,4162,,12720,,12120,,2137,6464,9096,13450,10020,7251,15370,16250,4778,9838,13000,16630,151.1,6338,11650,13130,121.6,482.4,14910,1595,12110,,7033,11030,242.4,,12100,14590,19460,7592,16560,8847,10520,18650,9932,,12600,5966,11240,18190,398,13610,,16370,21010,19270,15740,,10340,11280,15280,,194.8,12090,15900,9031,13570,9194,11620,12130,16530,2457,10710,17470,16610,433.2,9774,317.3,10520,11770,14230,
3544 | 124.0758mz | 3.58min,58.05,51.7,101.5,51.43,51.95,11650,22100,8398,21120,21190,,35740,,,62710,,,,,,102800,,,,42960,48970,,,,,,,,,,,5285,,6126,23900,6625,,,10850,,,31940,,,58640,,,,,66840,,,,,,,19320,7097,,,6925,102000,,,,98570,,,,,,8380,26060,,,,,,119200,,,,,113500,112800,,,106400,125600,,33340,102800,,116300,,,,,,,,,,,135600,,16850,
3545 | 284.1326mz | 3.64min,,,,,,25440,26020,18040,25930,26010,,25930,,,3256,,,,,,5838,,,,11310,3638,,,,,,,,,,,7673,,6163,29530,5699,,,16110,,,52750,,,57910,,,,,12980,,,,,,,6653,7145,,,6419,6627,,,,62590,,,,,,6702,25560,,,,,,6260,,,,,6203,27490,,,6247,6261,,26270,9401,,84470,,,,,,,,,,,116000,,22910,
3547 | 274.2015mz | 3.77min,1434,,,,,,,,,,653.6,,4172,,,,269.4,,3965,,,464.2,2651,,,,,,,,6562,,,,,,,192.7,,,,,,,,,,229,1192,,,,90.22,,,983.8,193.5,,,,,,,661.2,,,,,,3916,,899,4018,7301,2100,,,117.8,767.9,898.2,985.4,,,,,,399.3,,,,,,,,4202,,,,,,,1603,,,570.3,,,5373,,,1626,140.7,
3548 | 545.2936mz | 3.77min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2622,,,,,558.8,318.2,,,,,,,,,,,4660,,,7414,,,,378.7,,673.2,1828,,,,8148,,,,,,,2654,,5787,,5365,10130,,4758,5024,2689,,,,,12680,,5401,,4469,,,3425,1465,,,,,3944,4786,,
3549 | g-Guanidinobutyrate | [M - H2O + H]+,163.7,54.96,56.69,,,31690,33430,33240,31060,32270,15360,15270,41310,20030,14210,41240,25550,24180,27530,18140,4795,30200,41540,5494,12430,16120,2212,21410,41330,26120,25400,4387,26290,23950,19430,11460,222.1,27690,783.4,26790,1632,7557,15080,22870,29760,25060,23570,33010,37020,27120,22460,30590,36070,2519,20390,24760,29920,1804,2434,31240,6678,31620,1171,15530,25260,3022,,26070,33340,40200,22180,35900,26460,25800,39280,22740,2337,29980,14050,25200,38490,2628,29000,3543,35650,43950,38370,36490,1830,26830,25330,30190,468.6,3979,25380,36410,29780,29660,40190,26860,25220,34170,6456,43870,26500,33900,5277,22460,2185,43670,23610,28560,TUHVEAJXIMEOSA
3550 | 340.7462mz | 3.77min,,,,545.2,471.2,,,,,,,,,,,,,,3565,,,,,7653,,,154.3,,,,,,,,,,,,,,,,,,,,,,,,,191.1,,,,,,104.7,3504,,,,,,,,,,,,,,3695,,,,,,,,,,,,203.7,,,,,,,,,,3024,,,,,,,,,,194.1,,5355,,103.8,,611.6,,
"3551 | 1-Isocyanato-2,2-dimethylpropane | [M + H]+",4915,20840,14930,1648,20560,43330,41730,39850,40780,40170,92590,30500,24470,27250,29740,20130,173600,31000,127200,32920,53420,30300,10120,34110,24010,31640,41660,22700,20350,29010,47100,50190,24560,29880,39100,25000,71740,28880,34810,35490,6088,34050,27490,24570,24610,32620,33250,31860,32380,39380,38590,24360,12150,44800,30710,157900,30780,40710,16490,8726,27610,23930,32270,90860,40110,38350,96240,26820,30260,23080,40110,32650,111500,52010,15880,43230,5099,33260,83810,168400,10750,50620,21150,5677,26760,21600,26840,34080,35710,33950,32340,16630,102300,52160,108600,17400,38400,32830,33320,28530,30350,14780,27350,23750,21300,12560,24080,38570,38110,27030,27730,39730,USXSCBCCYNVIPN
"3552 | 1-Isocyanato-2,2-dimethylpropane | [M + H3N + H]+",1486,788.8,577.4,1267,231.6,60330,58210,57040,54160,56410,144300,39230,32590,37100,37240,26020,270100,43640,194100,46500,64280,43300,19990,47330,26080,39060,59460,32850,25750,39810,69120,72420,33950,38710,56760,31990,93340,40720,34250,45200,7967,44890,39320,29890,34490,45910,41330,44610,45510,47820,54740,31960,19630,63350,32090,241100,45480,56270,25040,16390,36590,28550,32660,137100,54710,44780,127400,37700,40190,29990,43570,42700,170200,72800,17410,60430,5731,43850,124900,250300,17250,71650,27650,7116,36630,27090,34160,46460,36010,30410,44700,21760,132600,59770,163800,17110,39260,45740,27220,38930,42930,21760,36000,31200,28960,18550,34680,54650,53080,22650,37790,52520,USXSCBCCYNVIPN
3553 | 529.3851mz | 3.77min,,,,50,,,,,,,,,,,,,,,185.9,,,,,1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2716,,,,,,,,,,,,,,190.7,,,,,,,,,,,,,,,,,,,,,,211.4,,,,,,,,,,,,1673,,,,,,
3554 | Ile-Gly-Ile | [M + H]+,,,,,,78520,72780,70850,72650,71300,101200,66690,160700,51660,80820,9482,140000,21230,87450,29340,139100,19690,141700,21820,70420,82150,33780,263700,11600,29690,149100,59730,47630,29800,18590,6944,72110,299100,125500,66070,166400,28160,19910,62130,40350,57650,95700,65490,11610,83050,27760,15070,9463,59550,97440,134300,299300,32460,18830,10940,26050,60480,126000,103400,29120,129000,77620,276600,42560,149600,118100,37660,77910,153500,135300,15090,172100,67230,101000,137900,131700,60930,47640,173200,55450,10170,44220,87530,130400,73370,16050,46150,74500,127700,72970,30430,123100,314300,94550,276100,40370,139500,25380,33260,33950,8996,18390,139000,32010,88630,39710,70990,MQFGXJNSUJTXDT
3555 | 510.2118mz | 3.77min,,,,,,341.7,169.2,238.1,387.4,317.5,3632,,4033,,,,5646,,2182,,,,4685,,,351.7,,5413,461.5,,5948,,,,,,,7165,,,,,196.2,171.3,,289.7,,,,,,,253.8,,,6498,7769,,,484.2,,,,3276,,,,4999,,4284,,,3144,5634,5371,,,746.4,2505,6017,5532,,,,,,,5154,,,,536.4,,,2068,,,7154,,5633,202,5163,,747,,,,6318,,,,,
3556 | 356.1589mz | 3.76min,,,,,,,,,,,2704,,217,,,,2307,,,,,,1062,,901,,,6562,,,1875,,,,,,,8323,,,,,,134.4,,,,,,,,,,,550.9,800.5,8017,,,,,209.7,148.6,2070,,434.8,,5277,,234.6,,,,1336,1388,,272.1,,1931,2671,1012,,,269.4,,,,298.3,186.7,,,,,209.6,,,,6869,,5097,,872.4,,,,,,2318,,,,,
3557 | 275.1012mz | 3.82min,,,,,,2759,2619,2642,2587,2436,,,,,,,,,,,7892,,,,294.7,,1898,,,,,1642,,,,,9846,,11180,,9895,942.2,,2086,,,,,,,,,,1005,,,,2300,442.8,,1422,201.1,11620,,,10560,9188,,,,,,,,,,10270,1682,,,,1461,,8289,,,,,10760,,,,9156,8849,,733.3,579.5,,264.2,,,,1507,,,,407.7,,1831,499.6,,1449,
3558 | 426.2027mz | 3.77min,,,,,,,,,,,,,,,,,,,,,,,,2421,,,4515,,,,,2463,,,,,,,,,,2831,,,,,,,,,,,,2447,,,,4007,2409,,2740,,,,,,,,,,,,,,,,,,,,,2956,,242.5,,,,,,,,,,,,,,,,,,,2534,,,,1999,,3945,,,,
3559 | 2-[[2-[(2-Amino-4-methylpentanoyl)amino]-3-methylbutanoyl]amino]-3-hydroxypropanoic acid | [M + H]+,,,,,,17380,15670,15190,15830,15120,23210,7503,29860,5989,7917,1451,31900,4022,15890,7263,24920,3381,28760,776.3,6622,8959,1938,53780,2211,3785,27060,5802,5531,5308,2843,967.4,13820,59620,25070,8900,35170,1760,3260,12510,7257,6839,9911,7018,6817,10680,6530,5902,1599,5626,11570,31120,61280,1203,826,1869,1872,9970,25390,22830,6557,23770,11840,52100,6422,28240,14750,8657,14910,27860,29040,1227,32630,13320,22080,30830,27190,6317,8571,35760,8362,1737,6567,11750,24990,13260,2046,10470,12610,26670,14380,8822,19140,62750,15860,53950,5703,27880,1121,4886,6275,262.1,358.2,26380,465.5,15430,5876,14370,VKVDRTGWLVZJOM
3560 | 159.1129mz | 3.78min,,,,,45.33,729.8,1147,430,544.3,805.6,1899,,2990,,288.1,,2260,,1717,234.7,1950,,3405,,323.6,389.2,117.8,5828,,470.6,2599,399.6,635.9,507.2,,,336.6,6135,2014,481.3,4672,75.75,214.2,1313,1709,1592,505.4,385.4,268.1,804.4,655.3,1286,,133.9,1110,2648,6499,71.98,,,,873.3,1842,1667,210.1,2422,711.7,5930,720.7,3279,490.7,678.1,2046,3067,4150,,2561,753.4,2380,2420,2777,356.3,894.2,3231,1012,,241.9,2061,2187,1144,,1112,704,2421,1604,765.9,522.3,7362,561.9,5801,524.6,4411,82.55,496.6,1134,,,2929,,523.9,246.9,232.2,
3561 | 340.1846mz | 3.77min,,,,,,190.2,,,374.4,,5476,,1904,,,,4204,,635.2,,,,2382,,,,,9620,,,3149,102.9,,,,,,9113,166.4,,194.8,,,161.4,,,,,,,,,,307.7,,3982,10240,,,,,,201.2,5514,,254.9,,8590,,2421,,,369,2862,2935,,425.7,273,4144,4030,2898,155,,643.9,,,,,,,,,,190.6,867.6,,,8490,,8898,,1416,,,,,,3515,,,,,
3562 | Ser-Phe | [M + H]+,,,,,,260900,263500,160100,269300,275000,1699,351800,,,458200,1624,1327,,,,814500,,,4326,524600,514500,6322,9051,1507,,1636,6707,,,247.8,905.1,837500,7193,819600,209700,817700,6040,557.9,282500,,,560500,,,429000,259,,1972,6712,584000,1586,6381,5656,5751,1585,6793,426900,836600,2584,535.7,933300,791700,15230,,172.1,551000,,,1890,,580,960400,270200,2643,972.3,457.8,6038,,871800,,2316,,,778400,736100,1376,,776400,816200,,124700,520800,6860,842100,14540,1086,1257,6277,1346,136.8,315.8,4493,1714,5835,898800,,255300,PPQRSMGDOHLTBE
3563 | 494.2379mz | 3.77min,,,,,,1774,1445,664.1,1019,230.5,5454,,6786,,,153,7032,,5082,,,,6999,,,,,7064,158.8,,8002,111.7,,,,,,8391,,,,87.31,,224.9,,,,,,,,,617.7,124.1,,7352,8005,,,907.5,109.8,,,5259,,,,6016,,6299,,,6325,7436,8395,,,750.8,3856,7811,8258,134.7,,,,,,,,,,,,,6195,,,6985,,7263,,6206,,,,446.7,,8032,,,,430.5,
3564 | 187.1079mz | 3.85min,,,,,,1284,2187,2689,1229,2222,3833,2198,7158,2401,1380,,7085,5957,4011,1722,7262,503.9,9724,787,1328,1927,847.5,13710,185,449.9,8101,774.2,2143,3127,1056,1569,2655,13550,7075,5576,9213,251,1773,1158,5140,5460,2688,6626,1672,5541,933.2,4613,2483,1107,8599,9387,14220,3639,753.2,1327,1874,8426,7461,4808,3449,8476,4364,11840,5476,10630,2039,4478,6933,10070,10230,1848,10280,3173,6560,9711,10210,374.5,6415,10810,641.2,679.3,4301,8997,3628,854.8,1500,1280,4483,7768,5624,4995,4885,14830,2492,12590,1491,9562,384.9,4723,1880,1089,1577,9435,2665,6641,1981,1824,
3566 | 119.0896mz | 3.89min,52.58,,,224.8,393.3,2437000,2437000,2380000,2417000,2401000,2366000,3533000,2388000,4637000,3545000,2240000,2986000,4254000,2170000,3881000,948700,4416000,2340000,941500,3214000,3314000,570500,2657000,2227000,4251000,1917000,810800,4440000,4480000,3488000,3337000,877000,2740000,673200,3733000,714300,987300,3359000,2289000,3972000,3638000,2937000,4211000,3946000,3109000,3140000,3731000,2156000,784000,2988000,2991000,2664000,539700,859900,2099000,958700,3351000,672800,2311000,3041000,868600,861900,2558000,4141000,2246000,2795000,3759000,2027000,1854000,2274000,3007000,679700,2240000,2262000,2942000,2265000,779000,3760000,700500,3797000,2237000,3423000,3176000,676500,2579000,2595000,3378000,875800,912400,1955000,2561000,2592000,2564000,2395000,2545000,2557000,2110000,925900,2430000,3220000,2006000,819300,1700000,488500,2265000,3258000,2204000,
3567 | 251.1604mz | 3.79min,,,,,,,147.1,,136.8,,,,,,337.2,458.8,288.6,1708,24140,253.2,,1337,,38520,344.5,431.7,2095,,,1028,190.1,125,939.4,3647,4031,558.6,,,,5388,,376.5,3470,92.51,1378,2574,808.9,7259,1497,,6415,5023,423,109.3,1346,165.3,,1849,22680,,559.7,2707,,,2467,,,,3431,,558.6,1976,21530,112.5,143.9,5385,,,,,153.9,202.8,2119,,4345,,3125,3331,,,1418,982,,,19210,1400,1186,,985,,5410,,272.1,1341,1330,699.6,29200,139.2,1191,472.4,6407,,
3568 | 227.1755mz | 3.77min,,,,,,,142.3,,,270.1,294,,221.7,,,,,,,,4156,,219.9,,,,239.7,3581,,,364,717.9,,,,,1857,4512,4469,,8980,1448,,530.1,,,,,,,,,,5975,,304,4181,900.9,563.6,,788.9,,6316,178.4,,4969,1928,3997,,644.3,,,,938.6,171.4,,10730,283.9,148.9,633.3,817.7,3481,,9352,,,,,5178,,,,2284,4385,161.1,,,4054,,3315,,1074,1232,,,,170,180.3,258.9,,,293.6,
3569 | Leu-Gly-Leu | [M + Na]+,,,,,,6338,6504,6803,6739,7208,27490,,17410,208.6,,,24670,,7987,256.6,10380,,19320,3916,,,5786,58310,602.8,,26490,14820,181.5,200.1,,,7069,61030,12720,,15100,8476,453.5,10360,196.4,420.8,,,,,179.1,199.6,537.5,16160,207.9,29460,61000,8981,5997,1573,8212,2695,14220,26980,,13610,5658,54620,,19890,,,11700,27390,21350,,17420,8285,26680,27200,22480,14970,250.7,16090,317.5,,,1955,11450,241.4,,4247,5977,12210,12020,2596,540.8,55650,,54260,,25010,3924,575.7,,292.7,2755,29920,4764,239.4,,6264,HYIFFZAQXPUEAU
3570 | 162.0088mz | 3.82min,13120,242.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3571 | 526.8349mz | 3.78min,,,,,,340,569.6,138.6,472.4,340.6,,,,265.5,,,,2339,171.7,,,,,407.2,857.9,1676,125,,,5545,411.8,255.1,178.2,3095,,684.6,,603.4,,2996,,79.35,540.8,139.2,207,,3237,3964,,3044,1586,1863,,240.3,459.5,,495,100.7,,,,1417,,,235.2,,,,985.5,,4280,7732,156,532.9,158.8,2474,,349.4,,,152.3,255.8,394.8,,8707,,5351,,,4499,1946,196.9,,,140.1,1170,1249,1179,5662,,1111,,,337.6,,,132.3,483.9,260,4379,4186,574,
3572 | 512.3343mz | 3.81min,,,,,,,,613.5,456,397.9,,,472,3222,756.1,,,442.1,2109,532,,3508,,,,1216,,,,2766,,310,3353,1744,1684,312.4,,,,3046,,371.5,614.8,457.7,3424,856.3,,4267,2767,403.5,575.4,987.3,,350,699.5,,,,,,418.8,1572,,,408.8,,,,3329,514.7,1659,2444,1137,,601.3,669.3,,603.3,,,,367,2339,,3694,,1679,1747,,,,227.5,,,1766,496.2,,,,,1607,486.7,444.8,449.7,1698,,,,,,1658,473.3,
3574 | 142.0863mz | 3.85min,,,54.5,,,501.3,295.4,371.9,183.7,576.6,146.9,249.7,842.3,964.7,274.6,719.1,944.1,1256,1161,485.1,,1140,623.3,1431,540.3,449.6,514.4,415.6,2483,1674,501.4,1031,2313,1654,2334,2283,912.5,198.1,,4280,271.7,172.5,2378,757.5,3106,3326,1229,3218,5155,3574,4301,3525,2742,1831,448.5,1005,283.3,217.2,160.8,2379,206.9,2307,142.6,942.9,3890,385.3,292.1,347.6,3658,1362,1386,4371,1195,1268,967.7,2319,310.7,1624,1073,562.9,400.8,226.6,3242,606.9,3190,1060,1128,2550,175.2,1139,4402,351.3,269.4,344.9,503.4,1536,1423,217.9,296.9,911,4323,1099,211.2,1721,3578,894.5,393.3,262.4,532.7,429.8,4268,1408,
3575 | 247.1655mz | 3.79min,,,,,,,,,,,,,,,,,,,983.7,,,,,2655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938.7,,,,,,,,,,,,,,597.3,,,,,,,,,,,,,,,,,,,,,,839,,,,,,,,,,,,1810,,,,,,
3576 | 526.3332mz | 3.78min,,,,,,1857,1175,841.9,1136,1009,,3319,,823.2,1666,509.7,247.3,6778,1060,,744.9,,216.4,979.3,2360,6595,435.4,,,14230,1616,911.2,704.7,6108,1713,1528,,1821,,7208,600.2,384,4628,820.3,1995,,9259,13980,,9613,4669,5415,352.1,695.3,1298,560,2124,633.5,524,108.3,99.35,4734,204.5,,2819,,,214.2,2659,,13630,16380,1034,1782,583.6,5246,,671.9,,146.1,382.9,892.9,1405,282.3,17380,231.1,14840,,451.8,10670,4497,1687,,,447.3,2841,2422,2360,10350,174.1,5070,,77.05,1538,,400.4,596.5,1071,844.9,7412,10740,1138,
3577 | 2-[(5-methyl-3-oxohexyl)amino]propanoic acid | [M + H]+,,,,,,8256,7685,7838,7589,7649,4196,,22960,478.5,,6469,7447,8387,24300,,,5415,21540,386.8,232.3,292.6,472.4,1210,5788,10220,23010,903.7,1274,2546,957.9,388.5,,2314,,2264,,350.9,1479,3909,1625,1727,1283,5380,16520,1502,2272,9884,4744,807,1322,6153,1632,491.6,83.27,3776,296.5,2337,,4460,2727,,,1903,1174,21700,521.8,15200,20890,23990,21070,2751,,6558,3713,6745,19270,463.9,620.8,,9002,6312,20060,3985,,3045,4441,2164,,,20430,3500,640,4409,2207,2112,4028,14220,605.7,3795,17650,4816,602.9,18490,118.3,2104,21370,7640,VHHUMCJOXTZJOX
3578 | 293.1498mz | 3.78min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164,,419.4,,,,,,,,430.9,,,,,,,,267.2,,,,,,,,208.1,,,213.9,729.3,,,,,,,,,,253.6,,,,,,,208.7,,,,,417.9,,,,875.3,,,,481,,292,,,,,,,,,,,1459,,,
3580 | 577.3673mz | 3.79min,116.8,,,55.62,147.5,2355,2435,1368,1649,1391,690.4,,735.4,3573,,1580,1253,367,147.4,,,18200,,1886,617.3,1668,103.9,921.5,1383,1506,462.6,3414,5618,680.1,33760,,,1139,,7472,210,3236,15840,899.9,6189,,2182,4108,15210,2360,18590,1339,1207,3137,275.3,1228,555.6,172.5,807.9,982,2410,4795,,732.7,30510,,,752.6,4517,627.2,3430,2696,,663.5,,879.5,,1082,660,1306,,2958,4709,,3972,1300,2756,,,2661,392.1,4791,,,,2046,2263,1090,3589,368.4,17900,651.8,3117,17250,11700,1152,1403,204.8,78.1,2285,2013,1732,
3581 | 352.1872mz | 3.80min,,,,,,1537,2001,3663,2411,2931,5814,1613,10260,1979,3276,,2504,1797,2747,3812,16910,1773,10670,474.3,3101,4853,658.2,12110,,847.4,9963,1603,2320,2545,304.3,,9906,12910,8919,3924,18190,719.7,1378,2072,3495,3206,5750,3171,2167,5005,1809,3505,99.66,1712,5100,2755,12790,1036,495,182.1,553,6627,20000,5556,345.7,14560,10580,12020,3853,6910,4516,2998,1472,7525,10100,313.8,24470,2756,5716,5394,10320,996.7,1501,23800,4426,,4140,11540,21480,2832,183.7,2477,10790,15400,2077,2573,13590,12750,6437,12330,1346,8994,771.6,2605,2515,148.7,393.1,10500,838.3,8732,4192,2814,
3582 | Moiramide B | [M + H]+,,,,,,290.1,894.8,1283,2324,565.2,,,,,,5574,134.9,,,,,,,1677,,,4720,,9778,,,2700,,,4444,50100,,,,,,5459,29510,2642,,,,,351,,49200,,12660,4636,,154.3,,7567,5553,1806,8164,,,,36080,,,,382.6,,,,566.7,281.5,,47950,,5105,,,,1015,1150,,,11490,,,,,38910,196.7,,,,,,,,,36820,270.8,3133,11810,261.4,11310,3779,127.4,2175,,,3573,WMLLJSBRSSYYPT
3583 | 569.3332mz | 3.54min,,,,,,1117,214.3,425.4,723.6,478,4155,,170.3,4803,,,4886,964.3,1269,,666.9,1912,1310,,,,,1320,,1204,1556,,4510,2103,,,459.4,2269,494.2,338.9,726.7,,,,4812,,,1397,2044,,,906.6,,,,2604,2206,,,,,779.4,1149,3546,,252.9,1157,1932,2981,411.6,,587.1,1255,432.9,1347,,289.5,,2554,4425,926.8,,4166,607.1,4011,,1664,,1593,,,1668,1182,363.5,1255,972.8,,2358,,1998,,749.5,,,1157,,,795.5,,,926.5,,
3584 | 427.2918mz | 3.77min,,,,,,5063,4200,4367,1503,4558,,,,,,137.4,,,,,31910,,,1418,,,2210,,143.2,,,2802,,,,,11980,,31990,,35570,945.2,,831.4,,,,,,,,,135.3,2862,,,,1983,633.1,355.2,1056,,32110,,,25080,16100,,,,,,,,,,29270,2512,,,,2455,,34880,,111.5,,,34130,,,,15530,28630,,,,,,,,,201.9,,,102.6,483.2,,1547,,,4172,
3585 | 308.1455mz | 3.81min,,,,,,,,,,,385.8,607.8,,8476,,,,12640,,2662,,12130,,,939.8,,,,,11060,,,6066,8887,3567,2985,,,,4300,,,3396,,5127,2084,2692,6532,8060,3156,2195,6834,299.4,,1613,,,,,515,,2507,,,2353,,,,6236,,1641,8186,,,,3058,,,,,,,3432,,4736,,5308,3298,,,1819,1931,,,,488.6,884.9,,264.7,,1803,,,1296,4287,,,,,,6963,,
3586 | 326.1481mz | 3.80min,,,,,,1894,1115,907.9,838.4,1664,2173,30100,1146,6510,33280,,2751,1609,,16060,3769,713.2,1493,,45920,36030,,6466,700.9,511,2591,,5219,4481,1320,4621,1723,7375,2864,7918,5041,,2556,2026,3111,3094,30600,2169,463.3,22670,2258,3497,186.1,,42490,4368,7406,,,1045,,8973,3723,2246,2010,6196,1726,5028,4862,1193,12860,2506,574.4,2347,1344,268.1,5564,1905,2120,3128,1634,,2973,5838,2860,124.2,167.7,9640,2652,3007,445.8,3803,911.6,5699,694.4,978.8,25040,6646,2124,4937,2221,2962,,3229,2324,79.45,,2866,,15090,587.2,1347,
